algo,controle,risque,graine,score,temps_s,fin
glouton,espace,loin_queue,651,202,1898.6,boucle
glouton,espace,loin_queue,672,191,1732.2,mort
glouton,espace,loin_queue,673,127,385.4,mort
glouton,espace,loin_queue,674,217,1719.8,boucle
glouton,espace,loin_queue,675,206,918.4,mort
glouton,espace,loin_queue,684,223,1061.8,victoire
glouton,espace,loin_queue,685,115,248.8,mort
glouton,espace,loin_queue,686,215,1475.4,boucle
glouton,espace,loin_queue,687,219,1982.0,boucle
glouton,espace,loin_queue,708,217,1599.6,boucle
glouton,espace,loin_queue,709,131,381.0,mort
glouton,espace,loin_queue,710,139,468.0,mort
glouton,espace,loin_queue,711,215,851.4,mort
glouton,espace,loin_queue,676,223,1404.0,victoire
glouton,espace,loin_queue,677,212,1433.0,boucle
glouton,espace,loin_queue,678,208,1839.0,boucle
glouton,espace,loin_queue,679,211,1008.8,mort
glouton,espace,loin_queue,700,218,1696.6,boucle
glouton,espace,loin_queue,701,223,972.6,victoire
glouton,espace,loin_queue,702,171,1042.6,mort
glouton,espace,loin_queue,703,97,204.2,mort
glouton,espace,loin_queue,688,216,1497.4,boucle
glouton,espace,loin_queue,689,206,2617.4,boucle
glouton,espace,loin_queue,690,211,1026.8,mort
glouton,espace,loin_queue,691,123,325.0,mort
glouton,espace,loin_queue,680,217,1545.0,boucle
glouton,espace,loin_queue,681,213,1662.6,boucle
glouton,espace,loin_queue,682,202,1155.6,mort
glouton,espace,loin_queue,683,213,1461.8,boucle
glouton,espace,loin_queue,692,211,1684.6,boucle
glouton,espace,loin_queue,693,222,1109.6,mort
glouton,espace,loin_queue,694,181,1280.4,mort
glouton,espace,loin_queue,695,138,557.2,mort
glouton,espace,loin_queue,704,223,1034.8,victoire
glouton,espace,loin_queue,705,122,324.4,mort
glouton,espace,loin_queue,706,220,1634.6,boucle
glouton,espace,loin_queue,707,213,1751.2,boucle
glouton,espace,loin_queue,712,208,918.6,mort
glouton,espace,loin_queue,713,207,985.6,mort
glouton,espace,loin_queue,714,214,1589.8,boucle
glouton,espace,loin_queue,715,205,874.6,mort
glouton,espace,loin_queue,696,214,1543.6,boucle
glouton,espace,loin_queue,697,210,1693.2,boucle
glouton,espace,loin_queue,698,217,1663.8,boucle
glouton,espace,loin_queue,699,214,1586.4,boucle
glouton,espace,loin_queue,728,206,1067.4,mort
glouton,espace,loin_queue,729,88,184.0,mort
glouton,espace,loin_queue,730,212,1045.8,mort
glouton,espace,loin_queue,731,135,390.2,mort
glouton,espace,loin_queue,720,208,859.0,mort
glouton,espace,loin_queue,721,134,445.6,mort
glouton,espace,loin_queue,722,144,669.4,mort
glouton,espace,loin_queue,723,210,1583.6,boucle
glouton,espace,loin_queue,736,220,1568.6,boucle
glouton,espace,loin_queue,737,108,259.0,mort
glouton,espace,loin_queue,738,221,1760.8,boucle
glouton,espace,loin_queue,739,150,587.4,mort
glouton,espace,loin_queue,732,110,272.2,mort
glouton,espace,loin_queue,733,214,1545.4,boucle
