partie,score,record,mean100,epsilon,steps,temps_s,victoire
434,21,65,28.380,0.0100,94576,748.2,0
435,19,65,28.320,0.0100,94729,749.3,0
436,18,65,28.220,0.0100,94894,750.6,0
437,14,65,28.130,0.0100,95002,751.4,0
438,29,65,28.230,0.0100,95259,753.3,0
439,18,65,28.140,0.0100,95404,754.5,0
440,28,65,28.020,0.0100,95653,756.4,0
441,15,65,27.960,0.0100,95755,757.2,0
442,35,65,28.180,0.0100,96063,759.6,0
443,28,65,28.070,0.0100,96295,761.6,0
444,25,65,28.130,0.0100,96521,763.4,0
445,21,65,28.020,0.0100,96718,765.0,0
446,17,65,28.000,0.0100,96859,766.2,0
447,37,65,27.950,0.0100,97139,768.5,0
448,32,65,28.110,0.0100,97413,770.7,0
449,23,65,27.960,0.0100,97599,772.2,0
450,9,65,27.970,0.0100,97677,772.8,0
451,28,65,27.850,0.0100,97889,774.5,0
452,38,65,28.070,0.0100,98233,777.6,0
453,8,65,27.960,0.0100,98306,778.3,0
454,20,65,27.950,0.0100,98478,779.8,0
455,22,65,27.850,0.0100,98700,781.8,0
456,19,65,27.860,0.0100,98849,783.0,0
457,19,65,27.960,0.0100,98987,784.1,0
458,14,65,27.820,0.0100,99118,785.1,0
459,37,65,28.050,0.0100,99486,788.2,0
460,32,65,28.190,0.0100,99772,790.8,0
461,38,65,28.100,0.0100,100118,794.0,0
462,15,65,27.920,0.0100,100250,795.2,0
463,34,65,28.130,0.0100,100533,797.6,0
464,33,65,28.230,0.0100,100815,800.0,0
465,21,65,27.930,0.0100,100980,801.3,0
466,42,65,27.950,0.0100,101392,804.7,0
467,30,65,27.940,0.0100,101621,806.7,0
468,36,65,28.010,0.0100,101915,809.0,0
469,25,65,28.040,0.0100,102127,810.6,0
470,34,65,27.870,0.0100,102466,813.3,0
471,12,65,27.630,0.0100,102566,814.1,0
472,39,65,27.730,0.0100,102885,816.7,0
473,29,65,27.870,0.0100,103205,819.1,0
474,15,65,27.590,0.0100,103350,820.2,0
475,34,65,27.550,0.0100,103633,822.5,0
476,49,65,27.810,0.0100,104100,826.5,0
477,38,65,27.920,0.0100,104393,828.9,0
478,15,65,27.930,0.0100,104550,830.2,0
479,37,65,27.990,0.0100,104863,832.7,0
480,31,65,27.860,0.0100,105165,835.0,0
481,10,65,27.760,0.0100,105253,835.8,0
482,10,65,27.520,0.0100,105339,836.5,0
483,48,65,27.800,0.0100,105773,840.0,0
484,31,65,27.860,0.0100,106105,842.6,0
485,15,65,27.780,0.0100,106242,843.6,0
486,24,65,27.860,0.0100,106469,845.4,0
487,38,65,27.850,0.0100,106779,847.9,0
488,36,65,27.980,0.0100,107082,850.3,0
489,21,65,27.610,0.0100,107262,851.6,0
490,9,65,27.390,0.0100,107325,852.2,0
491,30,65,27.470,0.0100,107605,854.6,0
492,19,65,27.310,0.0100,107766,855.8,0
493,11,65,27.240,0.0100,107876,856.6,0
494,33,65,27.200,0.0100,108212,859.4,0
495,26,65,27.260,0.0100,108426,861.2,0
496,49,65,27.330,0.0100,108855,864.6,0
497,44,65,27.430,0.0100,109271,868.0,0
498,47,65,27.650,0.0100,109664,871.1,0
499,29,65,27.750,0.0100,109937,873.2,0
500,20,65,27.630,0.0100,110093,874.4,0
501,6,65,27.370,0.0100,110141,877.6,0
502,25,65,27.160,0.0100,110343,879.1,0
503,33,65,27.300,0.0100,110655,881.6,0
504,27,65,27.300,0.0100,110853,883.1,0
505,16,65,27.320,0.0100,110985,884.1,0
506,33,65,27.290,0.0100,111295,886.5,0
507,22,65,27.050,0.0100,111456,887.9,0
508,27,65,27.020,0.0100,111674,889.6,0
509,15,65,26.830,0.0100,111811,890.7,0
510,28,65,26.840,0.0100,112062,892.7,0
511,50,65,27.230,0.0100,112521,896.5,0
512,28,65,27.370,0.0100,112746,898.3,0
513,32,65,27.360,0.0100,113079,900.9,0
514,26,65,27.350,0.0100,113269,902.5,0
515,42,65,27.340,0.0100,113618,905.2,0
516,14,65,26.830,0.0100,113749,906.2,0
