cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,switch_by,secours,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
temporel,0.9,1011,False,221,8037,boucle,0.9955555555555555,,,,0,,0,0,0,0,0,13.31
temporel,0.9,1012,True,223,5927,victoire,1.0,4897,0.9022222222222223,seuil,1,4897,0,0,13,10,1,1.42
temporel,0.9,1013,True,223,5096,victoire,1.0,4296,0.9066666666666666,seuil,24,4296,0,0,13,10,1,1.4
temporel,0.9,1014,True,223,5959,victoire,1.0,5073,0.9022222222222223,seuil,2,5073,0,0,12,7,6,2.22
temporel,0.9,1015,True,223,6209,victoire,1.0,4994,0.9066666666666666,seuil,46,4994,0,0,11,11,3,1.89
temporel,0.9,1016,True,223,5594,victoire,1.0,4834,0.9066666666666666,seuil,4,4834,0,0,10,12,2,1.89
temporel,0.9,1017,False,218,6065,corps,0.9822222222222222,,,,0,,0,0,0,0,0,10.94
temporel,0.9,1018,False,217,8606,boucle,0.9777777777777777,,,,0,,0,0,0,0,0,11.92
temporel,0.9,1019,True,223,5948,victoire,1.0,4940,0.9066666666666666,seuil,1,4940,0,0,9,12,2,1.69
temporel,0.9,1020,True,223,6014,victoire,1.0,5395,0.9111111111111111,seuil,148,5395,0,0,12,9,2,1.77
temporel,0.9,1021,False,221,5503,corps,0.9955555555555555,4734,0.9066666666666666,seuil,11,4734,0,0,15,2,5,2.14
temporel,0.9,1022,True,223,5852,victoire,1.0,4986,0.9066666666666666,seuil,9,4986,0,0,14,8,2,1.8
temporel,0.9,1023,False,210,5014,corps,0.9466666666666667,,,,0,,0,0,0,0,0,7.02
temporel,0.9,1024,False,196,4156,corps,0.8844444444444445,,,,0,,0,0,0,0,0,0.76
temporel,0.9,1025,False,219,5491,corps,0.9866666666666667,4785,0.9022222222222223,seuil,50,4785,0,0,10,6,6,7.13
temporel,0.9,1026,True,223,6306,victoire,1.0,5014,0.9066666666666666,seuil,4,5014,0,0,13,8,3,1.65
temporel,0.9,1027,False,219,8288,boucle,0.9866666666666667,,,,0,,0,0,0,0,0,9.76
temporel,0.9,1028,True,223,5273,victoire,1.0,4588,0.9066666666666666,seuil,36,4588,0,0,13,9,2,1.43
temporel,0.9,1029,False,219,9634,boucle,0.9866666666666667,,,,0,,0,0,0,0,0,8.96
